Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
66.550.2,False,False,False,357008,,Drawings and Prints,1966,Book,A Midsummer Night's Dream...,,,,,,16487687380824307789,Author|Editor|Illustrator|Publisher, |Edited with an introduction by| | ,William Shakespeare|Sir Israel Gollancz|Robert Anning Bell|J. M. Dent & Co.,"British, Stratford-upon-Avon 1564–1616 Stratford-upon-Avon|British, London 1863–1930 London|British, London 1863–1933 London|London", | | | ,"Shakespeare, William|Gollancz, Israel Sir|Bell, Robert Anning|Dent, J. M. & Co.",British|British|British|British,1564      |1863      |1863      |1850      ,1616      |1930      |1933      |1950      ,|||,http://vocab.getty.edu/page/ulan/500272240||(not assigned)|,https://www.wikidata.org/wiki/Q692||https://www.wikidata.org/wiki/Q2442215|,1895,1895,1895,Illustrations: lithographs,6 1/2 x 8 7/16 in. (16.5 x 21.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/357008,,,"Metropolitan Museum of Art, New York, NY",,,
17.190.1023,False,False,False,193734,,European Sculpture and Decorative Arts,1917,Snuffbox,Snuffbox,"Russian, St. Petersburg",,,,,,,,,,,,,,,,,,late 19th century,1885,1899,"Gold, enamel, diamonds",Overall: 3 7/8 × 2 5/8 in. (9.8 × 6.7 cm),"Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Metalwork-Gold and Platinum,,http://www.metmuseum.org/art/collection/search/193734,,,"Metropolitan Museum of Art, New York, NY",,,
24.97.66,False,False,True,328975,,Ancient Near Eastern Art,1924,Dress ornament,Dress ornament,Scythian,,,,,,,,,,,,,,,,,,ca. 5th century BCE,-500,-400,Gold,W. 5/16 in.,"Fletcher Fund, 1924",,,,,,Northern Black Sea region,possibly from Maikop,,,,,Metalwork-Ornaments,,http://www.metmuseum.org/art/collection/search/328975,,,"Metropolitan Museum of Art, New York, NY",,,
47.11.9,False,False,False,254582,159,Greek and Roman Art,1947,Phiale,Silvered-tin phiale (libation bowl),Greek,Classical,,,,,,,,,,,,,,,,,late 5th century BCE,-450,-400,"Tin, silver",diameter  9 1/2in. (24.1cm),"Rogers Fund, 1947",,,,,,,,,,,,Gold and Silver,,http://www.metmuseum.org/art/collection/search/254582,https://www.wikidata.org/wiki/Q116405045,,"Metropolitan Museum of Art, New York, NY",,,
1974.356.361,False,False,True,205920,,European Sculpture and Decorative Arts,1974,Figure,Nesting pigeon,"German, Meissen",,,,,16202016483,Modeler|Manufactory, | ,Johann Joachim Kändler|Meissen Manufactory,"German, Fischbach 1706–1775 Meissen|German, 1710–present", | ,"Kändler, Johann Joachim|Meissen Manufactory",German|German,1706      |1710      ,1775      |9999      ,|,http://vocab.getty.edu/page/ulan/500001959|http://vocab.getty.edu/page/ulan/500054662,https://www.wikidata.org/wiki/Q73593|https://www.wikidata.org/wiki/Q822407,1732,1732,1732,Hard-paste porcelain,Height: 5 3/4 in. (14.6 cm),"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",,,,,,,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/205920,,,"Metropolitan Museum of Art, New York, NY",Pigeons,http://vocab.getty.edu/page/aat/300310557,https://www.wikidata.org/wiki/Q2984138
65.216.1,False,True,True,44851,,Asian Art,1965,Handscroll,"『妙法蓮華経』　「提婆達多品第十二」|“Devadatta,” Chapter 12 of the Lotus Sutra (Hoke-kyō, Daibadatta-bon)",Japan,Heian period (794–1185),,,,,,,,,,,,,,,,,12th century,1100,1185,"Handscroll; gold and silver on indigo-dyed paper

",10 1/16 in. x 33 ft.  (25.6 x 1005.8 cm),"Seymour Fund, 1965",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/44851,https://www.wikidata.org/wiki/Q78851329,,"Metropolitan Museum of Art, New York, NY",Buddhism|Buddha|Girls,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300262950|http://vocab.getty.edu/page/aat/300247581,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q7055|https://www.wikidata.org/wiki/Q3031
27.3.21,False,False,False,561066,109,Egyptian Art,1927,Arrow,Arrow,,Middle Kingdom–Early New Kingdom,Dynasty 11–18,,,,,,,,,,,,,,,,ca. 2124–1504 B.C.,-2124,-2124,Wood,average L. 83 cm (32 11/16 in),"Rogers Fund, 1927",From,,,,Egypt,"Upper Egypt, Thebes",Deir el-Bahri,Tomb MMA 106,,"MMA excavations, 1926–27",,,,http://www.metmuseum.org/art/collection/search/561066,https://www.wikidata.org/wiki/Q116438062,,"Metropolitan Museum of Art, New York, NY",,,
03.4.24,False,False,False,569699,,Egyptian Art,1903,Model food (?),Model food?,,Old Kingdom,Dynasty 4,,,,,,,,,,,,,,,,ca. 2649–2100 B.C.,-2649,-2649,Pottery,,"Gift of Egypt Exploration Fund, 1903",From,,,,Egypt,Northern Upper Egypt,Abydos,Osiris Temple,"""Hearth Altar"" (deposit of black ashes)",,,,,http://www.metmuseum.org/art/collection/search/569699,,,"Metropolitan Museum of Art, New York, NY",,,
96.21.3,False,False,False,560622,109,Egyptian Art,1896,Scarab,Scarab,,Second Intermediate Period,Dynasty 13–17,,,,,,,,,,,,,,,,ca. 1640–1550 B.C.,-1640,-1550,Steatite,L. 1.9 cm (3/4 in.),"Gift of Mrs. Joseph R. Skidmore, 1896",From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/560622,https://www.wikidata.org/wiki/Q116436759,,"Metropolitan Museum of Art, New York, NY",,,
63.350.224.369.137,False,False,False,663707,,Drawings and Prints,1963,Photograph,"Lola Ness, from the Actresses series (N369), issued by the Lone Jack Cigarette Company to promote Ruby and Lone Jack Cigarettes",,,,,,17991,Publisher,Issued by,Lone Jack Cigarette Company, , ,Lone Jack Cigarette Company, ,          ,          ,,,,1887,1887,1887,Albumen photograph,Sheet: 2 11/16 × 1 7/16 in. (6.8 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/663707,,,"Metropolitan Museum of Art, New York, NY",,,
1978.105.3a–c,False,False,False,91797,,Costume Institute,1978,Suit,Suit,Italian,,,,,,,,,,,,,,,,,,1961,1961,1961,wool,,"Gift of Stuart Steven Brody, 1978",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/91797,,,"Metropolitan Museum of Art, New York, NY",,,
2011.604.1.1222,False,False,True,671296,,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",Late Archaic,,,,,,,,,,,,,,,,,490–480 BCE,-500,-450,Terracotta,,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/671296,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.224.375.17,False,False,False,664823,,Drawings and Prints,1963,Print,"American Beagle, from the Breeds of Dogs series (N375) issued by H. Ellis & Co. to promote Tiger Cigarettes",,,,,,18015,Publisher,Issued by,H. Ellis & Co., , ,H. Ellis & Co., ,          ,          ,,,,1889,1889,1889,Commercial color lithograph,Sheet: 2 3/4 × 1 1/2 in. (7 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/664823,,,"Metropolitan Museum of Art, New York, NY",,,
67.708.1,False,False,True,362132,,Drawings and Prints,1967,Drawing ; Ornament and architecture,Design for a fireplace,,,,,,16613,Artist,Attributed to,Robert Adam,"British, Kirkcaldy, Scotland 1728–1792 London", ,"Adam, Robert","British, Scottish",1728      ,1792      ,,http://vocab.getty.edu/page/ulan/500008907,https://www.wikidata.org/wiki/Q312635,mid-18th–late 18th century,1750,1792,"Pen and ink, brush and wash, watercolor",sheet: 10 3/4 x 17 3/8 in. (27.3 x 44.1 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1967 
",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/362132,,,"Metropolitan Museum of Art, New York, NY",Fireplaces,http://vocab.getty.edu/page/aat/300052267,https://www.wikidata.org/wiki/Q188669
05.44.67,False,False,False,247120,,Greek and Roman Art,1905,Coin,Coin,Greek,,,,,,,,,,,,,,,,,,,-7000,-30,Silver,"Diameter: 1 1/16 × 3/16 in., 0.3oz. (2.7 × 0.5 cm, 7.51g)","Gift of J. Pierpont Morgan, 1905",,,,,,,,,,,,Coins,,http://www.metmuseum.org/art/collection/search/247120,,,"Metropolitan Museum of Art, New York, NY",,,
"1985.364.11a, b",False,False,False,98032,,Costume Institute,1985,Evening slippers,Evening slippers,Italian,,,,,2059,Designer, ,Emilio Schuberth,"Italian, 1904–1972", ,Schuberth Emilio,Italian,1904      ,1972      ,,,,1964–69,1964,1969,"leather, fur",,"Gift of Miriam Whitney Coletti, 1985",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/98032,,,"Metropolitan Museum of Art, New York, NY",,,
"36.100.259b, c",False,False,True,75829,,Asian Art,1936,Netsuke and ojime,,Japan,Edo period (1615–1868),,,,,,,,,,,,,,,,,19th century,1800,1899,"Awabe shell, lacquer","b) H. 1 in. (2.5 cm); Diam. 3/8 in. (1 cm)
c) H. 1 3/4 in. (4.4 cm); Diam. 3/4 in. (1.9 cm)","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",,,,,,,,,,,,Netsuke,,http://www.metmuseum.org/art/collection/search/75829,,,"Metropolitan Museum of Art, New York, NY",,,
2009.300.2173,False,False,False,156970,,Costume Institute,2009,Cloche,Cloche,American,,,,,,,,,,,,,,,,,,ca. 1925,1923,1927,"wool, silk",,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Richard Koopman and Mrs. Bernard Schiro, 1972",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156970,,,"Metropolitan Museum of Art, New York, NY",,,
65.261.2,False,False,True,339723,,Drawings and Prints,1965,Drawing,Study of a nude female figure (Satyress),,,,,,16232,Artist, ,Auguste Rodin,"French, Paris 1840–1917 Meudon", ,"Rodin, Auguste",French,1840      ,1917      ,,http://vocab.getty.edu/page/ulan/500016619,https://www.wikidata.org/wiki/Q30755,1905–8,1905,1908,Graphite and watercolor on paper,Sheet: 9 13/16 x 12 3/4 in. (25 x 32.4 cm),"Gift of Georgia O'Keeffe, 1965",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/339723,,,"Metropolitan Museum of Art, New York, NY",Satyrs,http://vocab.getty.edu/page/aat/300379732,https://www.wikidata.org/wiki/Q163709
21.160.3,False,False,False,35138,,Arms and Armor,1921,Bow,Bow,Japanese,,,,,,,,,,,,,,,,,,late 18th–19th century,1750,1900,"Bamboo, wood, lacquer, cord, rattan",L. 83 in. (210.8 cm); W. 1 1/4 in. (3.2 cm); Wt. 1 lb. 8.7 oz. (700 g),"Gift of Captain William Ledyard Rodgers, 1921",,,,,,,,,,,,Archery Equipment-Bows,,http://www.metmuseum.org/art/collection/search/35138,,,"Metropolitan Museum of Art, New York, NY",,,
2002.399.5,False,False,True,211473,,European Sculpture and Decorative Arts,2002,Medal,Mary of Modena,British,,,,,4136,Artist,Medalist:,John Roettier,"Flemish, Antwerp 1631–1703 London, active England 1670–98", ,Roettier John,Flemish,1631      ,1703      ,,(not assigned),https://www.wikidata.org/wiki/Q6255389,1685,1685,1685,Silver,Diameter: 54 mm,"Gift of Assunta Sommella Peluso, Ada Peluso, and Romano I. Peluso, in memory of Ignazio Peluso, 2002",,,,,,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/211473,,,"Metropolitan Museum of Art, New York, NY",Queens|Profiles,http://vocab.getty.edu/page/aat/300025483|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q16511993|https://www.wikidata.org/wiki/Q4382010
48.101.2118,False,False,False,768996,,Islamic Art,1948,Fragment,Ceramic Fragment,,,,,,,,,,,,,,,,,,,8th–12th century,700,1199,"Earthenware; white slipped,  splashed with polychrome glaze",D 10.5 cm x H 11.4 cm,"Rogers Fund, 1948",Excavated in,Nishapur,,,Iran,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/768996,,,"Metropolitan Museum of Art, New York, NY",,,
89.4.2513,False,False,False,502739,,Musical Instruments,1889,Zaqq,Zaqq,Maltese,,,,,,,,,,,,,,,,,,19th century,1801,1900,"cane, horn, deerskin?",,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Malta,,,,,,,Aerophone-Reed Vibrated-bagpipe,,http://www.metmuseum.org/art/collection/search/502739,,,"Metropolitan Museum of Art, New York, NY",,,
53.600.13(6),False,False,False,433802,,Drawings and Prints,1953,Print collection ornament & architecture,"Ceiling decoration, the four corners of which are decorated with an escutcheon ornamented with a head, from Plafonds modernes, plate 9",,,,,Plafonds modernes,841229922,Artist|Publisher, | ,Jean Le Pautre|Jean I Leblond,"French, Paris 1618–1682 Paris|French, ca. 1590–1666 Paris", | ,"Le Pautre, Jean|Leblond, Jean I",French|French,1618      |1585      ,1682      |1666      ,|,http://vocab.getty.edu/page/ulan/500122209|,|,published ca. 1651,1646,1656,Etching; first state of two (Préaud),"Mount: 8 7/8 × 20 1/2 in. (22.5 × 52 cm)
Sheet: 5 1/8 × 7 3/8 in. (13 × 18.7 cm)","Harris Brisbane Dick Fund, 1953",,Paris,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/433802,,,"Metropolitan Museum of Art, New York, NY",,,
32.75.436,False,False,True,23507,,Arms and Armor,1932,Arrowhead (<i>Yanone</i>),Arrowhead (&lt;i&gt;Yanone&lt;/i&gt;),Japanese,,,,,,,,,,,,,,,,,,18th century,1701,1800,Steel,L. 11 1/4 in. (28.6 cm); L. of head 3 1/4 in. (8.3 cm); W. 1 1/4 in. (3.2 cm); Wt. 1.6 oz. (45.4 g),"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",,,,,,,,,,,,Archery Equipment-Arrowheads,,http://www.metmuseum.org/art/collection/search/23507,,,"Metropolitan Museum of Art, New York, NY",,,
32.75.67,False,False,True,196999,,European Sculpture and Decorative Arts,1932,Key,Key,French,,,,,,,,,,,,,,,,,,18th century,1700,1799,Iron,Length: 4 1/2 in. (11.4 cm),"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",,,,,,,,,,,,Metalwork-Steel,,http://www.metmuseum.org/art/collection/search/196999,,,"Metropolitan Museum of Art, New York, NY",,,
54.132.7,False,False,True,37648,,Asian Art,1954,Beads,,Tibet,,,,,,,,,,,,,,,,,,19th century,1800,1899,Jade and silver,L. 15 in. (38.1 cm),"Gift of Mrs. Anne Archbold, 1954",,,,,,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/37648,,,"Metropolitan Museum of Art, New York, NY",,,
2011.604.1.1249a–f,False,False,True,671322,,Greek and Roman Art,2011,Kylix fragments,Terracotta fragments of kylikes (drinking cups),"Greek, Attic",Archaic/Classical,,,,,,,,,,,,,,,,,5th century BCE,-500,-450,Terracotta,,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/671322,,,"Metropolitan Museum of Art, New York, NY",,,
22.84.1(19r),False,False,True,681307,,Drawings and Prints,1922,Books Prints Ornament & Architecture,Page from Ein new kunstlich Modelbuch...(Page 19r),,,,,,8539,Publisher, ,Peter Quentel,"German, active Cologne, 1518–46",", Cologne","Quentel, Peter",German,1500      ,1550      ,,,,1544,1544,1544,Woodcut,Overall: 7 11/16 x 5 7/8 in. (19.5 x 15 cm),"Rogers Fund, 1922",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/681307,,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
1977.187.34,False,False,True,310280,,"Arts of Africa, Oceania, and the Americas",1977,Plaque fragment,Plaque Fragment: Warrior Chief,Edo peoples,,,,,,,,,,,,,,,,,,16th–17th century,1500,1700,Brass,H. 17 3/4 × W. 6 1/4 × (approx.) D. 2 in. (45.1 × 15.9 × 5.1 cm),"Bequest of Alice K. Bache, 1977",,Court of Benin,,,Nigeria,,,,,,,Metal-Sculpture,,http://www.metmuseum.org/art/collection/search/310280,,,"Metropolitan Museum of Art, New York, NY",Men|Warriors,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300261945,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q1250916
2016.9.11.11,False,False,False,577610,,Egyptian Art,2016,"Inlay fragment, millefiori","Inlay fragment, millefiori",,Roman Period,,,,,,,,,,,,,,,,,30 B.C.–A.D. 364,-30,364,Mosaic glass,,Museum Accession,From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/577610,,,"Metropolitan Museum of Art, New York, NY",,,
23.225.261,False,False,True,63028,,Asian Art,1923,Bowl,永樂得全作　金襴手龍吉祥文鉢|Bowl with Dragons and Auspicious Motifs,Japan,Meiji period (1868–1912),,,,19910,Artist, ,Eiraku Tokuzen,"Japanese, 1853–1909", ,"Eiraku, Tokuzen",Japanese,1853      ,1909      ,,(not assigned),https://www.wikidata.org/wiki/Q41774220,second half of the 19th century,1850,1899,"Porcelain painted with cobalt blue under and red and gold over a transparent glaze (Kyoto ware, Eiraku type)",H. 3 1/8 in. (7.9 cm); Diam. 5 1/8 in. (13 cm),"Gift of Mrs. V. Everit Macy, 1923",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/63028,,,"Metropolitan Museum of Art, New York, NY",Dragons,http://vocab.getty.edu/page/aat/300375726,https://www.wikidata.org/wiki/Q7559
2009.300.6410,False,False,True,175601,,European Sculpture and Decorative Arts,2009,Textile,Fragment of a shirt,Russian,,,,,,,,,,,,,,,,,,1750–99,1751,1799,"Linen, silk",24 1/2 x 9 1/4 in.  (62.2 x 23.5 cm),"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Edward S. Harkness in memory of her mother, Elizabeth Greenman Stillman, 1931",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/175601,,,"Metropolitan Museum of Art, New York, NY",Flowers|Leaves,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q33971
17.194.831,False,False,True,250057,,Greek and Roman Art,1917,Pinhead,Pinhead,,,,,,,,,,,,,,,,,,,,-7000,330,Glass,Height: 1/4 x 7/8 in. (0.6 x 2.2 cm),"Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/250057,,,"Metropolitan Museum of Art, New York, NY",,,
41.160.719,False,False,False,253842,,Greek and Roman Art,1941,Intaglio,Intaglio,Roman,,,,,,,,,,,,,,,,,,1st century BCE–3rd century CE,-99,299,Agate,Other: 3/8 x 7/16 x 1/8 in. (1 x 1.2 x 0.3 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,Gems,,http://www.metmuseum.org/art/collection/search/253842,,,"Metropolitan Museum of Art, New York, NY",,,
43.45.6,False,False,True,361573,,Drawings and Prints,1943,Print,The Four Windmills,,,,,,7011016199,Artist|Etcher,After| ,Jan Brueghel the Elder|Wenceslaus Hollar,"Netherlandish, Brussels 1568–1625 Antwerp|Bohemian, Prague 1607–1677 London", | ,"Brueghel, Jan, the Elder|Hollar, Wenceslaus",Netherlandish|Bohemian,1568      |1607      ,1625      |1677      ,|,http://vocab.getty.edu/page/ulan/500007095|http://vocab.getty.edu/page/ulan/500028368,https://www.wikidata.org/wiki/Q209050|https://www.wikidata.org/wiki/Q448555,1650,1650,1650,Etching; first state of two,Sheet: 4 5/8 × 11/16 in. (11.8 × 1.7 cm),"Harris Brisbane Dick Fund, 1943",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/361573,,,"Metropolitan Museum of Art, New York, NY",Windmills|Horses|Carriages|Human Figures,http://vocab.getty.edu/page/aat/300006273|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300185335|http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q38720|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q235356|https://www.wikidata.org/wiki/Q5937779
33.7,False,False,False,548384,,Egyptian Art,1933,"Beam, acacia, step pyramid",Fragment of Acacia Wood from the Step Pyramid Complex at Saqqara,,Old Kingdom,Dynasty 3,,,,,,,,,,,,,,,,ca. 2649–2100 B.C.,-2649,-2649,"Wood, acacia",l. 21 cm (8 1/4 in); w. 14 cm (5 1/2 in); th. 4.7 cm (1 7/8 in),"Gift of Prentice Duell, 1933",From,,,,Egypt,Memphite Region,Saqqara,Djoser Pyramid Complex,"Southern Tomb, entrance passage",,,,,http://www.metmuseum.org/art/collection/search/548384,,,"Metropolitan Museum of Art, New York, NY",,,
43.18b,False,False,True,209284,,European Sculpture and Decorative Arts,1943,Medallion,Medallion (part of a set),"Italian, Rome",,,,,3378,Maker,Attributed to,G.L. Barberi, , ,Barberi G.L., ,1800      ,1900      ,,,,19th century,1800,1899,"Gold, mosaic, onyx (?)",1 7/8 × 1 1/2 in. (4.8 × 3.8 cm),"Gift of Emily C. Cross, 1943",,,,,,,,,,,,Metalwork-Gold and Platinum|Jewelry,,http://www.metmuseum.org/art/collection/search/209284,,,"Metropolitan Museum of Art, New York, NY",Animals|Men,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q8441
34.1.155,False,False,True,546450,113,Egyptian Art,1934,"Beads, string","Hepy, String of beads",,Middle Kingdom,"Dynasty 12, early-mid",,,,,,,,,,,,,,,,ca. 1950–1885 B.C.,-1950,-1885,Lapis lazuli,l. 60.5 cm (23 13/16 in),"Rogers Fund, 1934",From,,,,Egypt,Memphite Region,Lisht South,tomb west of the tomb of Senwosretankh ,"Pit 3, Burial of Hepy","MMA excavations, 1933–34",,,,http://www.metmuseum.org/art/collection/search/546450,https://www.wikidata.org/wiki/Q116281263,,"Metropolitan Museum of Art, New York, NY",,,
43.120.557,False,False,False,28361,,Arms and Armor,1943,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Iron, gold, copper, copper-silver alloy (shibuichi)",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 1/4 in. (0.6 cm); Wt. 1.1 oz. (31.2 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Kozuka,,http://www.metmuseum.org/art/collection/search/28361,,,"Metropolitan Museum of Art, New York, NY",Monkeys,http://vocab.getty.edu/page/aat/300250028,https://www.wikidata.org/wiki/Q1367
25.51.10,False,False,False,894925,,Drawings and Prints,1925,Print,"East Bergholt, Suffolk",,,,,"English Landscape: Various Subjects of Landscape, Characteristic of English Scenery, from Pictures Painted by John Constable, R.A.",1662337189,Artist|Engraver,After| ,John Constable|David Lucas,"British, East Bergholt 1776–1837 Hampstead|British, Geddington Chase, Northamptonshire 1802–1881 London", | ,"Constable, John|Lucas, David",British|British,1776      |1802      ,1837      |1881      ,|,http://vocab.getty.edu/page/ulan/500115382|http://vocab.getty.edu/page/ulan/500003709,https://www.wikidata.org/wiki/Q159297|https://www.wikidata.org/wiki/Q18508114,1832,1832,1832,Mezzotint touched with black ink; first state of four,"Image: 5 1/2 × 3 3/8 in. (13.9 × 8.5 cm)
Plate: 9 3/16 × 9 3/8 in. (23.3 × 23.8 cm)
Sheet: 11 9/16 × 13 13/16 in. (29.3 × 35.1 cm)","Harris Brisbane Dick Fund, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/894925,,,"Metropolitan Museum of Art, New York, NY",,,
48.101.1923,False,False,True,741450,,Islamic Art,1948,Fragment,Stucco Fragment,,,,,,,,,,,,,,,,,,,probably 8th–12th century,800,1300,"Stucco; carved, painted",L 13 x W 9.5 x H 2.5,"Rogers Fund, 1948",Excavated in,Nishapur,,,Iran,,,,,,,Stucco,,http://www.metmuseum.org/art/collection/search/741450,,,"Metropolitan Museum of Art, New York, NY",,,
19.73.89,False,False,True,359998,,Drawings and Prints,1919,Print,Nemesis (The Great Fortune),,,,,,16185,Artist, ,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg", ,"Dürer, Albrecht",German,1471      ,1528      ,,http://vocab.getty.edu/page/ulan/500115493,https://www.wikidata.org/wiki/Q5580,1501–2,1501,1502,Engraving,Sheet: 13 1/8 x 9 1/8 in. (33.3 x 23.1 cm) trimmed nearly to plate line,"Fletcher Fund, 1919",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/359998,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446
2009.300.4359,False,False,False,168587,,Costume Institute,2009,Toque,Toque,American,,,,,3111,Designer, ,Mme. Poiret, , ,"Poiret, Mme.", ,          ,          ,Female,,,1923,1923,1923,"silk, plastic",,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Frank L. Babbott, Jr., 1941",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/168587,,,"Metropolitan Museum of Art, New York, NY",,,
2016.402.557,False,False,False,778385,,Drawings and Prints,2016,"Baseball card, print","Card Number 592, Steve Comer, Texas Rangers",,,,,,16425,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn", ,Topps Chewing Gum Company,American,          ,          ,,,,1981,1981,1981,Commercial Color Lithograph,Sheet: 3 1/2 × 2 1/2 in. (8.9 × 6.4 cm),"Gift of George R. Goldner, in honor of Stewart Goldner, 2016",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/778385,,,"Metropolitan Museum of Art, New York, NY",,,
89.4.261,False,False,False,500830,,Musical Instruments,1889,Gong,Gong,Thai,,,,,,,,,,,,,,,,,,late 19th century,1850,1900,Metal,Diam. 12.7 cm (5 in.); L. of beater 20.3 cm ((8 in.),"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Thailand,,,,,,,Idiophone-Struck-gong,,http://www.metmuseum.org/art/collection/search/500830,,,"Metropolitan Museum of Art, New York, NY",,,
